Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
11566076,2,96
11566119,1,8
11566119,2,98
11566120,1,2
11566120,2,96
11566125,1,96
11566131,1,96
11566198,1,96
11566198,2,2
11566210,1,7
11566250,1,96
11566250,2,96
11566401,1,8
11566428,2,8
11566472,1,8
11566511,1,96
11566511,2,96
11566524,1,96
11566524,2,96
11566524,3,96
11566532,1,96
11566532,2,96
11566628,1,96
11566628,2,96
11566651,1,96
11566651,2,96
11566654,1,99
11566658,1,99
11566658,2,96
11566671,1,96
11566671,2,96
11566711,1,96
11566711,2,99
11566715,1,96
11566715,2,96
11566715,3,98
11566715,4,98
11566746,1,96
11566746,2,2
11566753,2,8
11566754,1,96
11566754,2,96
11566757,1,96
11566757,2,96
11566788,1,96
11566788,2,96
11566881,1,96
11566881,2,98
11566889,1,96
11566889,2,96
11566918,1,8
11568232,1,96
11568232,2,96
11568403,1,98
11568403,2,99
11568405,1,96
11568405,2,96
11568405,3,96
11568424,1,96
11568426,1,96
11568426,2,99
11568432,1,96
11568432,2,96
11568435,1,99
11568435,2,96
11568493,1,99
11568493,2,96
11568498,2,96
11568540,1,98
11568540,2,8
11568542,1,96
11568542,2,96
11568545,2,96
11568613,2,3
11568613,2,4
11568613,2,6
11569232,1,96
11569232,2,96
11569233,1,8
11569233,2,96
11569248,1,96
11569250,2,96
11569254,1,3
11569254,1,6
11569256,1,96
11569256,2,96
11569260,1,98
11569260,2,96
11569296,1,98
11569296,2,98
11569297,1,98
11569297,2,98
11570268,2,2
11570268,2,5
11570802,1,96
11570866,2,3
11570866,2,6
11573422,1,99
11573440,1,99
11573440,2,96
11573502,1,98
11573504,1,4
11573504,2,96
11573511,1,96
11576099,1,96
11576728,1,99
11576730,1,99
11576758,1,96
11576758,2,96
11576760,1,96
11576760,2,96
11576827,1,96
11577862,1,99
11577862,2,96
11577863,1,96
11577867,1,99
11577877,1,96
11584648,3,8
11586020,1,8
11586020,2,8
11586021,1,96
11586023,1,99
11586023,2,96
11586026,1,96
11586027,1,96
11586034,1,8
11586034,2,96
11586041,1,96
11586041,2,96
11588043,1,3
11588043,1,6
11589039,1,96
11591831,1,98
11591836,1,98
11591840,1,99
11591841,1,96
11591844,1,99
11591844,2,96
11592995,1,8
11592995,2,96
11593134,1,98
11593134,2,96
11593136,1,96
11593136,2,96
11593746,1,96
11593746,2,96
11594235,1,96
11594281,2,96
11594281,3,96
11594285,1,98
11594285,2,96
11594290,1,96
11594290,2,96
11594292,2,96
11594297,1,96
11594297,2,96
11594298,1,98
11594298,2,2
11594301,2,96
11594305,1,96
11594305,2,96
11594307,1,96
11594307,2,96
11594309,1,98
11594309,2,96
11594311,1,98
11594311,2,3
11594316,1,96
11594317,1,96
11594317,2,96
11594324,1,98
11594324,2,99
11594379,1,96
11594391,1,96
11594391,2,96
11594392,1,96
11594392,2,96
11594393,1,96
11594393,2,8
11594403,1,99
11594403,2,96
11594406,1,99
11594406,2,96
11594409,1,96
11594409,2,96
11594417,1,2
11594417,1,3
11594417,1,5
11594438,1,96
11594438,2,96
11594440,1,96
11594445,1,99
11594446,1,96
11594446,2,98
11594451,1,99
11594457,1,99
11594457,2,96
11594464,1,99
11594465,1,99
11594472,1,99
11594472,2,96
11594473,1,96
11594473,2,96
11594511,1,99
11594511,2,96
11594619,1,96
11594619,2,96
11594623,1,96
11594636,1,96
11594961,1,8
11594962,1,98
11594962,2,96
11594991,1,99
11594996,1,96
11594996,2,96
11595003,1,96
11595003,2,96
11595006,1,3
11595006,1,6
11595007,1,96
11595011,1,96
11595024,1,99
11595024,2,99
11595029,1,96
11595029,2,96
11595031,1,96
11595031,2,96
11595033,1,96
11595033,2,96
11595034,1,96
11595034,2,96
11595035,1,96
11595035,2,96
11595039,1,96
11595039,2,96
11595043,1,96
11595043,2,96
11595057,2,2
11595142,1,96
11595142,2,96
11595147,1,96
11595161,1,96
11595187,1,8
11595189,1,96
11595189,2,96
11595225,1,98
11595225,2,98
11595261,1,96
11595273,1,96
11595273,2,96
11595274,1,99
11595274,2,96
11595275,1,99
11595275,2,96
11595284,1,99
11595284,2,96
11595285,1,96
11595285,2,96
11595297,1,96
11595297,2,96
11595298,1,98
11595298,2,96
11595302,1,96
11595305,1,96
11595305,2,99
11595307,1,96
11595314,1,96
11595314,2,98
11595316,1,8
11595316,2,96
11595318,2,96
11595456,2,2
11595456,2,4
11595461,1,3
11595461,1,6
11595461,2,96
11595532,1,96
11595532,2,96
11595533,1,96
11595533,2,96
11595534,1,8
11595534,2,3
11595534,2,6
11595536,1,96
11595536,2,96
11595536,3,96
11595801,1,96
11595801,2,96
11595807,1,96
11595807,2,98
11595808,1,99
11595813,2,96
11595858,1,96
11595858,2,96
11595860,1,96
11595860,2,96
11595880,1,96
11595880,2,96
11595880,3,96
11595888,1,96
11595888,2,96
11595901,1,98
11595902,1,96
11595908,1,96
11595908,2,96
11595919,1,96
11595919,2,96
11595941,1,8
11595941,2,96
11595951,1,96
11595951,2,96
11595956,1,96
11595956,2,96
11596195,1,96
11596195,2,96
11596232,1,96
11596232,2,96
11596301,1,99
11596301,2,99
11596324,1,96
11596324,2,96
11596333,1,96
11596333,2,96
11596339,1,98
11596339,2,3
11596339,2,6
11596344,1,96
11596344,2,96
11596347,1,96
11596347,2,96
11596401,1,99
11596402,1,8
11596451,1,96
11596451,2,96
11596455,1,96
11596455,2,96
11596551,1,99
11596551,2,96
11596552,1,99
11596552,2,96
11596612,1,96
11596612,2,96
11596620,2,8
11596628,1,8
11596637,2,96
11596690,3,98
11596692,1,8
11596692,2,98
11596699,1,96
11596699,2,96
11596701,1,98
11596701,2,98
11596703,2,98
11596708,1,96
11596708,2,96
11596711,1,99
11596711,2,96
11596711,3,96
11596711,4,96
11596714,1,96
11596714,2,96
11596714,3,96
11596716,1,8
11596716,2,96
11596717,1,96
11596717,2,96
11596721,1,98
11596721,2,96
11596725,1,96
11596725,2,98
11597017,1,96
11597017,2,96
11597079,1,98
11597079,2,96
11597080,1,98
11597080,2,96
11597476,1,99
11597479,1,99
11597479,2,99
11597482,1,99
11597482,2,99
11597485,1,98
11597486,1,8
11597546,1,99
11597568,1,99
11597568,2,96
11597572,1,98
11597572,2,96
11597586,1,96
11597586,2,98
11598062,1,6
11598062,1,7
11598064,1,2
11598064,1,3
11598064,1,6
11598303,2,8
11598329,1,3
11598329,1,6
11598717,1,98
11598717,2,96
11598828,1,96
11598828,2,96
11598957,1,3
11598957,1,6
11598957,2,96
11599327,1,96
11599358,1,2
11599465,1,96
11599465,2,96
11599467,2,8
11600563,1,3
11600563,1,6
11600563,2,96
11601288,1,96
11601288,2,98
11601552,1,98
11601552,2,96
11601554,1,96
11601554,2,96
11601880,1,98
11601891,1,8
11601891,2,96
11601893,1,99
11601893,2,96
11601894,1,96
11601894,2,96
11601895,1,96
11601895,2,96
11601900,1,99
11601900,2,98
11601902,1,99
11601902,2,96
11601910,1,96
11601910,2,96
11601914,1,96
11601914,2,96
11601953,1,96
11601953,2,96
11601955,1,96
11601959,1,96
11601959,2,99
11602048,1,99
11602048,2,96
11602049,1,99
11602049,2,96
11602051,2,96
11602052,1,96
11602052,2,96
11602072,1,96
11602072,2,96
11602087,1,99
11602087,2,98
11602091,1,98
11602091,2,98
11602091,3,96
11602096,1,96
11602096,2,96
11602111,1,96
11602111,2,96
11602169,1,96
11602170,1,96
11602177,1,96
11602200,1,96
11602200,2,96
11602202,1,99
11602204,1,96
11602204,2,96
11602226,1,98
11602226,2,96
11602233,1,96
11602233,2,96
11602237,1,96
11602237,2,96
11602239,1,96
11602239,2,99
11602242,1,96
11602242,2,96
11602265,1,98
11602265,2,96
11602278,1,8
11602310,1,8
11602368,1,8
11602368,2,3
11602368,2,6
11602455,1,96
11602502,1,96
11602508,1,96
11602508,2,98
11602510,1,96
11602511,1,99
11602512,1,96
11602513,1,96
11602513,2,96
11602514,1,99
11602867,1,8
11602867,2,96
11602870,1,99
11602871,1,99
11602872,1,96
11602872,2,8
11602883,1,8
11602883,2,96
11603023,1,96
11603023,2,96
11603363,1,8
11603499,1,96
11606233,1,99
11606699,1,99
11606702,1,98
11606702,2,98
11606705,1,96
11606705,2,96
11606705,3,98
11606730,1,96
11606730,2,96
11606731,1,8
11606731,2,96
11606733,1,96
11606733,2,96
11606733,3,96
11606734,1,98
11606734,2,96
11606735,1,96
11606735,2,96
11606736,1,96
11606781,1,96
11606781,2,96
11606792,1,99
11606792,2,96
11606794,1,96
11606794,2,96
11606796,1,96
11606796,2,96
11606805,1,99
11606813,1,99
11606813,2,99
11606821,1,99
11606821,2,99
11606828,1,96
11606828,2,96
11606843,1,96
11606843,2,96
11606844,1,96
11606844,2,96
11606847,1,96
11606847,2,96
11606854,1,96
11606854,2,96
11606860,1,96
11606887,1,99
11606889,1,96
11606889,2,96
11606921,1,96
11606921,2,98
11606925,1,96
11606929,1,99
11606929,2,99
11606929,3,98
11606936,1,96
11606936,2,96
11606939,1,98
11606939,2,96
11606940,1,96
11606943,1,2
11606943,1,5
11606943,2,96
11606943,3,96
11606945,1,96
11606945,2,96
11606947,1,99
11606947,2,96
11606956,1,8
11606956,2,96
11607016,1,96
11607025,1,96
11607025,2,96
11607045,1,96
11607045,2,96
11607050,1,96
11607050,2,99
11607075,2,96
11607080,1,96
11607080,2,96
11607113,1,96
11607113,2,96
11607128,1,96
11607128,2,96
11607130,1,99
11607130,2,96
11607131,1,99
11607133,1,96
11607146,1,98
11607146,2,96
11607318,1,8
11607547,1,96
11607547,2,96
11607572,1,96
11607572,2,96
11607574,1,96
11607574,2,96
11607578,1,98
11607578,3,98
11607579,1,99
11607579,2,96
11607580,1,96
11607580,2,96
11607581,1,96
11607632,1,96
11607632,2,96
11607634,2,96
11607775,1,96
11607775,2,99
11607780,1,98
11607780,2,96
11607780,3,98
11607782,1,96
11607782,2,96
11607790,1,96
11607790,2,96
11607791,1,96
11607791,2,96
11607792,1,96
11607792,2,96
11607794,1,96
11607801,1,96
11607801,2,96
