Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
11395044,2,1
11395044,2,11
11395074,2,20
11395296,1,1
11395296,2,1
11395335,1,19
11395335,2,19
11395374,2,1
11395533,2,1
11395535,1,20
11395542,1,20
11395549,1,1
11395549,1,21
11395661,1,99
11395661,2,19
11395870,1,98
11395870,2,19
11401498,1,26
11401498,2,26
11402894,1,98
11406247,1,19
11406490,1,99
11406543,1,19
11406543,2,19
11409098,1,99
11409122,1,99
11409124,1,19
11409124,2,19
11411304,1,1
11411304,2,19
11412395,1,99
11412396,1,99
11412397,1,99
11414220,1,19
11414220,2,20
11414224,1,19
11414224,2,19
11415010,2,19
11424594,1,19
11424594,2,19
11424600,1,1
11424600,2,1
11425686,1,20
11429673,1,1
11429712,2,1
11432323,1,1
11432323,2,21
11432330,2,98
11432351,1,19
11433124,1,20
11433167,1,20
11433249,1,20
11434154,1,99
11434276,1,19
11434276,2,19
11434282,3,20
11434300,1,19
11434462,1,1
11434504,2,1
11434507,1,1
11434544,1,20
11434544,2,20
11434582,1,20
11434611,1,1
11434611,2,19
11434616,2,1
11435300,1,1
11435311,1,1
11437681,1,1
11437802,1,99
11437802,2,19
11438054,1,98
11438054,2,98
11442744,2,99
11443028,1,19
11443328,1,1
11443418,1,1
11444132,1,1
11444132,1,21
11444132,1,22
11448616,1,1
11448617,1,1
11448617,2,11
11448639,2,1
11451230,1,19
11451230,2,19
11453491,1,11
11457267,1,19
11457284,1,99
11457287,5,20
11457338,2,1
11457435,1,19
11457435,2,19
11457457,1,99
11459090,2,1
11460558,1,19
11460560,1,99
11460563,1,99
11460565,1,99
11460567,1,99
11460602,1,99
11461255,1,20
11461260,1,1
11461263,1,21
11461917,2,1
11461970,2,1
11461980,2,1
11462596,1,1
11462626,1,20
11463029,2,1
11463033,2,1
11463041,1,1
11463145,1,1
11463267,1,29
11463267,2,1
11463731,1,29
11463745,1,20
11463765,2,1
11463815,2,98
11463830,1,1
11464340,1,98
11464340,2,19
11464340,3,98
11464531,1,1
11464532,2,20
11464545,1,1
11464549,1,1
11464549,2,1
11464591,1,1
11464925,1,1
11464925,2,98
11469350,1,20
11469350,2,19
11472718,1,19
11472909,1,20
11472920,1,20
11472930,1,1
11472930,2,1
11475681,1,21
11475706,1,20
11475711,2,1
11475747,2,1
11475747,3,1
11475748,1,1
11475750,2,1
11476575,1,1
11477299,1,19
11477299,2,19
11482802,1,19
11482802,2,19
11482805,1,99
11483317,1,19
11483317,2,98
11485926,1,1
11485937,1,19
11489361,1,19
11489361,2,19
11489362,1,99
11489425,1,20
11489433,2,1
11489437,2,1
11489437,2,21
11489437,2,22
11489452,2,1
11489456,2,1
11489462,2,1
11489486,2,1
11489490,2,1
11489491,1,1
11489491,2,1
11489516,1,1
11489539,2,19
11489541,1,1
11489563,1,1
11489567,1,1
11490027,2,1
11491228,1,1
11491228,2,1
11491262,1,1
11491291,2,1
11491454,1,1
11491501,1,1
11491710,1,99
11491736,1,19
11491741,1,19
11491756,1,99
11491756,2,19
11491774,1,19
11491791,1,19
11491791,2,19
11491835,1,98
11494077,1,20
11494090,2,1
11495669,1,1
11495669,2,1
11496345,1,99
11496492,2,1
11496492,2,23
11496631,1,19
11496631,2,11
11497571,1,1
11497571,2,1
11497574,1,99
11497574,2,19
11498859,1,1
11498859,2,99
11499380,1,99
11499380,2,1
11499390,2,1
11500907,1,20
11500918,1,1
11500918,1,14
11501217,1,99
11501217,2,98
11501231,2,1
11501238,2,20
11501260,2,1
11501562,2,1
11501563,1,99
11501577,2,1
11501578,1,1
11501581,1,1
11504907,1,19
11504907,2,20
11505686,1,19
11505686,2,19
11507002,1,98
11507002,3,19
11508144,1,98
11508387,1,19
11508387,2,19
11508387,3,19
11509182,1,1
11509184,1,99
11509470,1,99
11509470,2,19
11510650,1,99
11510650,2,98
11510773,1,1
11511069,1,20
11511069,2,1
11511069,3,1
11511073,1,1
11516941,1,98
11519413,1,19
11519413,2,98
11519462,1,1
11520886,1,1
11520886,2,1
11520904,2,1
11520915,1,1
11520916,2,1
11520918,2,20
11520926,1,1
11520941,1,1
11520941,2,1
11520943,1,20
11521289,1,1
11521323,2,1
11521351,2,20
11521484,1,1
11521487,2,20
11521493,1,19
11521493,2,98
11521535,2,1
11521649,1,1
11521715,3,1
11521715,3,9
11521715,3,30
11522540,1,99
11522540,2,1
11522554,1,1
11522577,1,1
11522578,2,1
11522578,2,11
11522579,1,1
11522603,2,1
11522765,2,1
11523206,1,20
11523230,1,20
11523240,2,1
11523248,2,1
11523269,1,1
11523269,2,1
11523291,1,1
11523291,2,1
11523307,1,1
11523307,2,1
11523311,1,20
11523313,1,20
11523322,1,1
11523327,2,1
11523357,1,23
11523357,2,1
11523365,1,21
11523365,1,22
11523366,1,1
11525140,1,98
11525142,2,19
11525147,1,99
11525157,1,19
11525159,1,19
11525170,1,19
11525170,2,19
11527928,1,99
11532743,1,99
11532743,2,19
11535461,1,1
11535487,1,19
11535489,1,19
11535489,2,19
11535493,1,99
11535493,2,99
11535495,1,99
11535967,2,1
11537289,1,1
11537289,2,19
11537293,1,98
11537293,2,19
11537294,1,98
11537294,2,98
11537296,1,1
11539575,1,98
11539575,2,99
11539608,1,19
11539608,2,19
11539610,1,19
11539610,2,19
11539702,1,19
11539702,2,1
11539706,1,1
11539720,2,1
11539739,1,1
11542161,1,19
11542166,1,98
11542179,1,19
11542180,1,19
11543670,1,98
11543671,1,98
11543671,2,98
11543672,1,98
11543672,2,98
11544049,1,20
11544050,1,99
11544050,2,19
11544051,1,1
11548539,1,19
11548539,2,1
11548839,1,1
11548839,3,19
11549926,1,1
11549926,2,19
11549950,1,98
11549951,1,1
11549952,1,98
11549952,2,98
11551131,1,19
11551131,2,19
11551208,2,19
11552002,1,19
11552002,2,19
11552012,1,19
11552012,2,19
